Rank,Grade,Name,Followers
25,A+,neymarjr,"42,829,272"
1,A++ ,therock,"137,378,247"
2,A++ ,leomessi,"113,283,280"
3,A++ ,neymarjr,"113,020,616"
4,A++ ,natgeo,"106,117,368"
5,A++ ,jlo,"90,690,989"
6,A++ ,nike,"86,227,859"
7,A++ ,katyperry,"78,224,159"
8,A++ ,kevinhart4real,"71,980,380"
9,A++ ,realmadrid,"70,426,953"
10,A++ ,theellenshow,"69,277,316"
11,A++ ,fcbarcelona,"67,563,608"
12,A++ ,victoriassecret,"65,636,160"
13,A++ ,9gag,"50,370,936"
14,A++ ,ronaldinho,"43,678,245"
15,A++ ,iamcardib,"42,629,018"
16,A++ ,jamesrodriguez10,"41,158,869"
17,A++ ,nasa,"40,189,617"
18,A++ ,garethbale11,"39,322,437"
19,A++ ,priyankachopra,"38,284,054"
20,A++ ,championsleague,"37,226,438"
21,A++ ,nikefootball,"37,214,488"
22,A++ ,anitta,"36,831,575"
23,A++ ,marcelotwelve,"36,767,933"
24,A++ ,nba,"35,769,966"
25,A++ ,brunamarquezine,"34,477,479"
1,A++,Facebook,NA
2,A++,Real Madrid C.F.,NA
3,A++,Coca-Cola,NA
4,A,National Geographic,NA
5,A,Vonvon US,NA
6,A,KFC Sri Lanka,NA
7,A,Disney,NA
8,A,FC Bayern München,NA
9,A,FC Bayern München,NA
10,A-,Red Bull,NA
11,A-,Windows,NA
12,A-,AVATAR - Singapore,NA
13,A-,OREO,NA
14,A-,OPPO Mobile Italia,NA
15,A-,adidas,NA
16,A-,Maybelline New York,NA
17,A-,L'Oréal Paris,NA
18,A-,Jesus Daily,NA
19,A-,Volkswagen,NA
20,A-,Marvel,NA
21,A-,adidas Originals,NA
22,A-,CNN,NA
23,A-,Sony Pictures,NA
24,B+,Cartoon Network,NA
25,B+,ASUS,NA
1,A++,redbull,"54,166"
2,A++,spi0n,"48,202"
3,A++,contvreal,"43,485"
4,A++,humtv,"41,029"
5,A++,watchmojo,"37,049"
6,A++,splashnews,"30,038"
7,A++,karimdebbache,"29,905"
8,A+,got7,"29,537"
9,A+,tjhinnjatngo,"29,279"
10,A+,arynews,"28,118"
11,A+,bangtansubs2,"28,082"
12,A+,techinside,"26,990"
13,A+,sohailshoukat2704,"26,968"
14,A+,cokestudiopakistan,"26,200"
15,A+,jypentertainment,"25,754"
16,A+,fanreviews,"25,012"
17,A+,twiceonair,"24,851"
18,A+,geonews,"22,842"
19,A+,odn,"22,374"
20,A+,bts,"21,866"
21,A+,smashplus,"21,790"
22,A+,arydigitalofficial,"21,757"
23,A+,wochit,"20,990"
24,A+,cbsnews,"20,923"
25,A+,entertainmenttonight,"20,648"
1,A++,Xbox,"435,525"
2,A++,Ship,"397,919"
3,A++,TheGrefg,"382,982"
4,A++,SIEFE,"320,663"
5,A++,JaredFPS,"314,673"
6,A++,QueenEliminator,"222,117"
7,A++,HypeZoneFortnite,"218,389"
8,A++,NVAD3,"206,988"
9,A++,Archonaut,"204,716"
10,A++,Phixate,"191,969"
11,A+,ChannelOne,"185,783"
12,A+,Covent,"167,537"
13,A+,PaladinsGame,"163,930"
14,A+,ORIGINPC,"161,101"
15,A+,AtlasOfficial,"147,279"
16,A+,Xboxinteractive,"142,524"
17,A+,britni,"138,943"
18,A+,Kabby,"137,012"
19,A+,Mystiique,"129,261"
20,A+,Ampeterby7,"124,409"
21,A+,AnthonyDay,"123,831"
22,A+,Beautyxskillz,"123,457"
